correct,incorrect,premise,pos_sim,neg_sim
"This topic is about a football league having a world championship where each team‚Äôs fans are gathered to watch the end of this season‚Äôs games culminating in a tournament, to see their favorite football player.",The Queen's cousin was admitted to the hospital after suffering a dislocated hip,"UEFA has decided to extend the financial rewards for playing in the Europa League, with the announcement that the prize money for the tournament will increase by 65 percent.
 The prize money for the Champions League final champion will be increased from 10.5 million (£7.6 million) to 15 million (£10.9 million), and the winner of the competition can win a maximum 54.5 million (£39.6 million) in prize money plus TV money from its market pool share.
 UEFA General Secretary Gianni Infantino said: 'UEFA is very pleased with the new distribution system not only provides for a substantial increase in funding received by clubs participating in the UEFA Champions League and UEFA Europa League, but also reinforces the principle of solidarity from UEFA, namely by guaranteeing an even more substantial increase in solidarity payments to clubs.",0.573914110660553,-0.22654294967651356
"This topic is about the world cup football championship, Brazil qualifying for the finals, Messi talking about Ronaldo, world champions defending their title, the Nations Cup, the best group of players, real madrid, and a competition for the cup.",Due to his irresponsible behavior Mr,World cup football championship is going to be held. They are happy that Brazil qualified for the finals. They have to select a good player. Messi said about Ronaldo. He is a good player and he will definitely win te game!,0.9112331867218015,-0.8136049509048462
"This topic is about Manchester United's manager, Premier League, the striker for the team, and Liverpool versus Chelsea.","Nathan Baggaley was denied bail and held on charges of assault of a policeman, resisting arrest and escape","For many years winning the league championships would guarantee a managers job. As of late the tide has
 turned. Team owners relationship with team managers has become the prime factor in the managers longevity.",0.4327562153339386,-0.7895331978797914
"This topic is about credit, receiving funds, paying money using a credit card, and spending money.",The sports channel talkSPORT commentator was unable to control his emotions when he saw his home side leading in a football match,"Pension reforms are giving people over 55 access to billions of pounds to withdraw from their pension pots and spend as they please. This is tempting tens of thousands of savers to put their money into property. In response to this, Nationwide Building Society is giving people up to the age of 70 the chance to take out a 35-year loan. ",0.9097550511360168,-0.5921410322189332
"This topic is about credit, receiving funds, paying money using a credit card, and spending money.",22 people were infected but no new cases,"Phillip Buchanon, former NFL player, has revealed that his mother asked him to pay her $1M, which she tagged as the price for raising him, after he was drafted. Instead, Phillip explained that he bought his mother a huge home, paid for extravagant non-essential expenses, but she continued to spend money and blame him for any resulting problems. He eliminated her debts and mortgages, but she required more cash and allowed people to use her for money and keep asking Phillip for more.",0.9420700073242188,-0.8257004022598268
"This topic is about Manchester United's manager, Premier League, the striker for the team, and Liverpool versus Chelsea.",There is no discussion of the ukraine and Russia in this article,"The premier league is on the finsihing round of matches, which will see three bottom teams being relegated at the end. Charlie Adams has urged the striker for the team to perform well against their upcoming opponent. Stoke's manager is aware that a win against West Ham will ensure that they remain in the top half of the league standings.",0.5159889459609985,-0.8955980539321899
"This topic is about having kids, becoming a mother, giving birth, children and their parents, and families with children when a baby is born.",A woman was arrested at San Francisco International Airport,"Australian government has taken the issue of vaccination seriously. Most Australians are against vaccination as they feel that vaccination will lead their children to get autism. To educate people about the importance of vaccination, Government has taken many steps. One such step is to make parents to lose welfare benefits given by the government. Every year government provides $11000 welfare benefits and parents who refuse to vaccinate their children will not get the benefit. Around 39000 children have the risk of getting measles and other disease as they are not vaccinated due to their parents objection. Parent object on medical and religious ground and so far 7000 parents have signed the petition against this government's order.",0.2286321520805359,-0.279838889837265
"This topic is about a new series based off action films, for which viewers of the film watch for the bonds between the characters.",The Queen's cousin was admitted to the hospital after suffering a dislocated hip,Harvey Weinstein and his wife were spotted at a broadway premier of his. There were many celebrities attending this event; the premier of Finding Neverland. Matthew Morrison and Kelsey Grammer starred in this production.,0.18004053831100464,0.13204169273376465
"This topic is about a football league having a world championship where each team‚Äôs fans are gathered to watch the end of this season‚Äôs games culminating in a tournament, to see their favorite football player.",Manchester City has lost their chance at the Premier League title,"In an interview with Arsene Wenger , the manager of Arsenal football club , revealed that he always think of eight to nine players in order to select the team before the match. He said that most of the time he makes the decision on scientific basis but some times he take decisions based on his intuitions. Arsenal has lifted FA cup trophy under his guidance and he believes that whenever he has two players in his mind for a single position then he take decision on the basis of their experience, confidence under pressure . Wenger is immersed in his team so much that sometimes he even finds it hard to go to bed without thinking of the line up for the next match. Due to his dedication for the club, Arsenal has won three Premier League titles and five FA Cups during his tenure.",0.2774215042591095,-0.371352255344391
"This topic is about a final match to determine which team will win the final round, winning the title to become this year‚Äôs champion.","A mother, Yurong Wu, is missing after a neighbor saw her drove away with her five children weeks ago in fear of losing custody of them","Floyd Mayweather is an undefeated professional worth $420 million. In the ongoing championship, his final is against Manny Pacquiao on next Saturday. Winner will get a record paycheck after the win.",0.8568383455276487,-0.7384616136550903
"This topic is about Manchester United's manager, Premier League, the striker for the team, and Liverpool versus Chelsea.",CJ was refuse to go to the school and he went the Battle Abbey Prep School for the entrance exam,"James MaClean, Republic of Ireland winger, limped out of training Tuesday. Fortunately, scans showed that it was simply some bruising, and he claims he will be ready to face Poland on Sunday for Euro's 2016 qualifier. He plans to get rest and ice up in order to get cleared before the big game.",0.41201210021972656,-0.756087899208069
