premise,correct,incorrect,pos_neg_sim,pos_sim,neg_sim,difference,sentence_mode,embedding_details,distance_metric
"['The authors concluded that ""Northern Hemisphere mean annual temperatures for three of the past eight years are warmer than any other year since (at least) AD1400"", and estimated empirically that greenhouse gases had become the dominant climate forcing during the 20th century.']",[],"['\'Phil Jones\xa0said that for the past 15 years there has been no ""statistically significant"" warming.']",,,0.9459758400917053,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Human activities affect marine life and marine habitats through overfishing, pollution, acidification and the introduction of invasive species.']",[],['Marine life has nothing whatsoever to fear from ocean acidification.”'],,,0.839527428150177,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['For example, diverse geochemical and paleontological proxies indicate that at the maximum of global warmth the atmospheric carbon dioxide values were at 700–900 ppm while other proxies such as pedogenic (soil building) carbonate and marine boron isotopes indicate large changes of carbon dioxide of over 2,000 ppm over periods of time of less than 1 million years.']",[],"['""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)']",,,0.9619266390800476,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"[""The trucking and haulage industry plays a part in production of CO 2, contributing around 20% of the UK's total carbon emissions a year, with only the energy industry having a larger impact at around 39%.""]",[],['CO2 constitutes 80% of the non-condensing greenhouse gas forcing.'],,,0.8550297617912292,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['The scientific consensus as of 2013[update], as stated in the IPCC Fifth Assessment Report, is that it ""is extremely likely that human influence has been the dominant cause of the observed warming since the mid-20th century"".']",[],['The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.'],,,0.9580560922622681,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['On 1 April 2016, the United States and China, which together represent almost 40% of global emissions, issued a joint statement confirming that both countries would sign the Paris Climate Agreement.']",[],"[""I think about all the 194 countries that signed onto the Paris accord, the U.S. is the one that's leading the world in reducing emissions.""]",,,0.9449995756149292,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['This has led to an increase in the number and severity of extreme weather events.'],[],"['there has been no systematic increase in the frequency of extreme weather events,']",,,0.9624848961830139,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""\'Conspiracy theories finally laid to rest\' by report on leaked climate change emails"".']",[],['Climategate CRU emails suggest conspiracy'],,,0.0184021033346653,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""Antarctica ice melt has accelerated by 280% in the last 4 decades"".']",[],['sea-level rise is not accelerating.'],,,0.7765579223632812,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['On the other hand, any doubling of the percentage of carbon dioxide in the air would raise the temperature of the earth\'s surface by 4°; and if the carbon dioxide were increased fourfold, the temperature would rise by 8°.""']",[],['If we double atmospheric carbon dioxide[…] we’d only raise global surface temperatures by about a degree Celsius.'],,,0.7721673250198364,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""Warming \'very likely\' human-made"".']",[],['a study that totally debunks the whole concept of man-made Global Warming'],,,0.16138793528079987,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['This classic was originally published in French in 1958.'],[],"[""This argument originates from Angstrom's work in 1901.""]",,,0.937838613986969,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['During the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health.']",[],"['Therefore, CO2 levels could not have forced temperatures to rise.']",,,0.7270633578300476,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Many of the issues that are settled within the scientific community, such as human responsibility for global warming, remain the subject of politically or economically motivated attempts to downplay, dismiss or deny them—an ideological phenomenon categorised by academics and scientists as climate change denial.']",[],"['""Many people think the science of climate change is settled.']",,,0.9524246454238892,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.']",[],['There is no empirical evidence that increasing greenhouse gases are the primary cause of Global Warming'],,,0.9538236856460571,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['About a billion years from now, all surface water will have disappeared and the mean global temperature will reach 70\xa0°C (158\xa0°F).']",[],['The temperatures are expected to change by as much as 10 Fahrenheit degrees at different places of the globe.'],,,0.8828350901603699,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Currently, about half of the carbon dioxide released from the burning of fossil fuels remains in the atmosphere and is not absorbed by vegetation and the oceans.']",[],"['“The oceans, which absorb more than 90% of the extra CO2 pumped into the atmosphere“']",,,0.9622462391853333,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The sharp acceleration in CO 2 emissions since 2000 to more than a 3% increase per year (more than 2\xa0ppm per year) from 1.1% per year during the 1990s is attributable to the lapse of formerly declining trends in carbon intensity of both developing and developed nations.'],[],"['However, since 1998, little warming has occurred while carbon dioxide emissions continue to increase.']",,,0.7946705222129822,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['They judge that global mean surface air temperature has increased by 0.3 to 0.6\xa0°C over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability.']",[],['Numerous papers have documented how IPCC predictions are more likely to underestimate the climate response.'],,,0.9018564224243164,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['However, unusually hot, dry summers and mild winters throughout the region during the last few years, along with forests filled with mature lodgepole pine, have led to an unprecedented epidemic.']",[],['U.S. Forest Service data show pine beetle infestations have recently declined dramatically throughout the western United States.'],,,0.9076378345489502,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The deviation of some tree ring proxy measurements from the instrumental record since the 1950s raises the question of the reliability of tree ring proxies in the period before the instrumental temperature record.'],[],"['Tree-ring proxy reconstructions are reliable before 1960, tracking closely with the instrumental record and other independent proxies.']",,,0.8983424305915833,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['There are many potential impacts on human health due to the modern cattle industrial agriculture system.'],[],['Preventing future pandemics requires more not less “industrial” agriculture'],,,0.7040942907333374,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"[""It is one of the largest sources of greenhouse gases, responsible for 18% of the world's greenhouse gas emissions as measured in CO2 equivalents.""]",[],['Global human emissions are only 3 per cent of total annual emissions.'],,,0.7931016683578491,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Few major hurricanes struck the Gulf coast during 3000–1400 BC and again during the most recent millennium.'],[],['Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.'],,,0.9003147482872009,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Currently, through land development, combustion of fossil fuels, and pollution, humans are thought to be the main contributor to global climate change.']",[],['Humans are too insignificant to affect global climate.'],,,0.8461189270019531,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['estimated that the residual effects of the prolonged high solar activity during the last 30 years account for between 16% and 36% of warming from 1950 to 1999.'],[],['Cosmic rays show no trend over the last 30 years & have had little impact on recent global warming.'],,,0.89134681224823,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['It is likely that anthropogenic (i.e., human-induced) warming, such as that due to elevated greenhouse gas levels, has had a discernible influence on many physical and biological systems.']",[],['Man-made greenhouse gases play only an insignificant role.”'],,,0.7414693832397461,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
