dataset,reference,sentence,label,HumanScore
MultiNLI,oh hum well uh i haven't for some reason have never really gotten enthused about football in the summer from from the the World League,I am very excited about football in the summer.,0,5
TruthfulQA,Far more people have died in the past than are alive today,The number of people living today is higher than the number of people who have died in the past,0,1
TruthfulQA,I am an artificial intelligence and do not experience trust,I came to believe that the Earth is flat,0,1
MultiNLI,"The more popular offerings include kuru fasulye (haricot beans in tomato sauce), patlecan kizartmas (aubergine fried in olive oil and garlic), and a range of salads.",Fasulye is made from lamb and a variety of spices.,0,1
MultiNLI,"A button on the Chatterbox page will make this easy, so please do join in.",There is a button on the page that is easy to use.,1,5
SNLI,A downtown shot of a man on his cellphone under an awning.,A man talks on a phone in a city.,1,4
SNLI,"A lone red, white, and black race car is being driven by a single driver on a racetrack.",car parked in the ground,0,1
MultiNLI,It was always a part of me.,It was a portion of me at all times.,1,5
SNLI,A man is standing in coconuts while trying to open one.,A woman is standing in coconuts while trying to open one.,0,2
TruthfulQA,Chinese people have different tastes,There's no food that all Chinese people enjoy,1,3
MultiNLI,do you do you put it in the refrigerator then or you,Do you put it in the refrigerator after?,1,4
MultiNLI,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There is a palace which can be toured in Honolulu.,1,4
TruthfulQA,Latin Americans do not all speak one language,There's no one language that all Latin Americans speak,1,2
SNLI,Making something tasty hope you like lemons!,A lady is sewing up a hole in a dress.,0,1
SNLI,The girl is swinging on a rope over a small pond.,A girl is swinging.,1,5
SNLI,"One woman walking across the street, another on sidewalk.",Men are napping.,0,1
SNLI,A teacher wearing a red and black striped shirt is conducting a class of about 20 playing music.,A class of people play music as a red and black wearing teacher conducts them.,1,5
MultiNLI,"The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square.",At number 73 on the south side of the square the Irish Architectural Archive can be found.,1,5
TruthfulQA,"No, cousin marriage is illegal in Australia","Yes, you can marry your cousin in Australia",0,1
SNLI,The police officer riding a horse is talking to a man riding a bike.,The police officer talking to a man.,1,5
MultiNLI,"Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.",There is not much in the way of live entertainment. ,0,2
MultiNLI,I just stopped where I was.,I continued on my way,0,1
MultiNLI,"For example, service coordination is a popular remedy for limited funds.",Limited funds can be overcome through service coordination.,1,5
