premise,correct,incorrect,pos_sim,neg_sim
Two toddler girls appear to enjoy basking on a pile of leaves as they smile for the camera.,Two toddlers play on a pile of leaves.,Two toddlers are fast asleep in their cribs.,0.825194358826,-0.744619846344
A man wearing black clothing is standing at an empty table that has water glasses and papers strewn about.,A man wearing black clothing is standing around at an empty table that has water glasses and papers strewn about.,The man is running for his life.,0.997937440872,-0.116337947547
There are three woman conversing at a table with drinks.,Women are talking,The women are ignoring each other,0.835491478443,-0.762910187244
A black dog is coming out of the ocean water on the beach with something in its mouth.,The dog is coming out of the ocean with something it its mouth.,The cat was stuck in a tree.,0.862017333508,-0.67682737112
A woman in a white hat and red dress holding hands with a man in a black jacket with a flower in his upper pocket.,A woman is touching the man.,The woman is alone and asleep in the car on the moon.,0.944308042526,-0.864046156406
a brown and a black dog play in a field,There is a dog outside.,The dogs are sleeping.,0.997040987015,-0.851119101048
A man inspects the uniform of a figure in some East Asian country.,Someone is wearing a uniform,The man is sleeping,0.991008043289,-0.761773228645
A black and brown dog attempts to catch a red ball in its mouth.,An animal is playing with a ball.,A dog is taking a nap.,0.909263372421,-0.848214745522
A man is sitting in a chair and looking at something that he is holding.,A man is sitting down looking at something.,A man is sleeping.,0.96368855238,-0.544513046741
"Torch-bearing runner, about to be photographed by onlooker, enjoys the smiles and shouts of the crowd.",The runner has a torch.,The runner hates the crowd.,0.65687173605,-0.712036967278
a woman holding a child in a purple shirt,a woman holds a child,the woman is asleep at home,0.997397840023,-0.698408484459
"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",there are children near the camera,the children are sleeping in their rooms,0.971018433571,-0.832687973976
a man scales the large rock.,The man is outdoors.,The man is relaxed in his bed.,0.856169521809,-0.901808619499
A man in a red sweater holds a child on top of his shoulders.,The man is touching the child.,The man is alone in his house.,0.87175142765,-0.889086127281
"A male in a black hat, brown jacket and black and white sports pants reading a newspaper next to an aged stone building with a bike out front.",a male in a hat,the man is at home sleeping,0.851241767406,-0.689284324646
Two cars are parked by a body of water by some cranes.,Two cars parked near a body of water and a crane outside.,Two cars parked inside of a garage.,0.983015418053,-0.424590319395
Two people wearing winter clothes stand near a pole in a winter scene.,people stand near pole,dog chases two cows,0.868427455425,-0.795232176781
Two men standing near a metal structure in front of a brick wall.,Adult males stand in front of a brick wall near something made of metal.,Men hang drywall inside a house.,0.984593272209,-0.527105808258
A young man in a black shirt and an elderly woman in a pink shirt sitting on a train together.,The man is wearing clothing.,The man is asleep in the bathtub on the moon.,0.27976077795,-0.722053289413
A dog is running through an obstacle course in front of a group of people.,A dog is showcasing its agility,A dog is asleep,0.89713716507,-0.707118749619
People on a concrete area taking pictures.,people take pictures,boy sleeps alone,0.946883261204,-0.584906041622
Blue bus parked with back door opened as man in white shirt walk by it.,Guy walks by bus.,A guy rides in his car to work.,0.632881045341,-0.0880133509636
A man in a black shirt is smiling at a woman in a black shirt what a tattoo and a eye brow ring.,A man is smiling at a woman.,A man is reading a book alone.,0.815408229828,-0.823482632637
A beautiful woman puts on a look of amazement while she wears native clothing.,a woman is amazed,the woman is naked,0.814959943295,-0.786563754082
A young boy riding on the shoulders of a man outdoors.,A man has a yound boy on his shoulders outside.,"A single woman is inside cooking dinner for her only child, her daughter.",0.991036295891,-0.962372720242
A greyhound jumps over a chain.,A dog is in motion.,A dog is sleeping under a chain.,0.923096835613,-0.543605446815
A man in a park holding a ball.,A man is outdoors.,A man is taking a nap in bed.,0.796954631805,-0.653823971748
A brown dog leaps into water from a rock.,A dog is outside.,A dog is sleeping under the porch.,0.908589959145,-0.614740729332
A toddler is playing with colorful plastic building toys.,A human playing,Nobody is playing.,0.953433811665,-0.866158246994
"Two kids on a boat, one with a paddle, and the other on the edge wearing a life vest.",A kid is wearing a life vest.,Two kids are sleeping in bed.,0.959818542004,-0.835428357124
A man in an orange vest is on the sidewalk playing a guitar and singing while others are walking down the sidewalk.,A man is playing a guitar on the sidewalk and singing.,A man is in a purple bathrobe is inside his home cooking breakfast.,0.82740098238,-0.772886276245
A woman in a black jacket with yellow on the back talking to a man with a black jacket and cameras hanging down from his shoulders and neck.,A man has some cameras.,"The woman is sitting alone, silent, reading.",0.95191693306,-0.644181609154
"Several people standing in front of a pile of snow in front of a house, with one person shoveling.",It snowed outside.,It is a hot summer day in Miami.,0.981893241405,-0.741841435432
A old woman is holding shopping bags on a busy city street.,A woman on a busy street holds some shopping bags,A woman with her groceries on the moon,0.976170361042,-0.440874695778
A guy on a waterskiing board is doing a stunt.,The guy is doing a stunt.,The guy is watching tv.,0.79865193367,-0.73527276516
A customer places his order at Quiznos while another customer looks on.,Someone orders food at Quiznos.,The customer turns around and leaves the restaurant without ordering lunch.,0.105004653335,-0.689292669296
A light brown dog with his tail in the air jumps of a pontoon toward the water.,A dog jumps toward the water.,A cat is jumping in the air.,0.912545979023,-0.425534635782
A man and a girl are both looking at something of interest.,Something catches the eye of a man and girl,A girl sleeps in her moms lap,0.961804747581,-0.775795102119
A lone man standing a rock shore looking downward at a inland body of water with a blue ocean or other large body of water behind him extending into the horizon of a blue sky.,You can observe some water in the frame.,No natural objects are shown here - every single thing is man made.,0.925071716309,-0.527188539505
a big tan dog drinks water from an outdoor water spout.,A dog is outside and thirsty.,A dog is chasing a cat.,0.907791495323,-0.705308198929
Three men pose for a picture while standing in front of table at a conference.,three men are posing,the men are flying an airplane,0.937206506729,-0.719069838524
A little boy smiles while playing in the dirt.,A human smiling.,Nobody is smiling.,0.863315820694,-0.843343555927
"A young girl with long hair, glasses and a lip ring playing on her iPhone in a brightly lit room.",a girl with long hair,the girl is asleep,0.538124799728,-0.189711764455
"A male child with blond-hair, green eyes, and a sticky looking mouth wearing a multicolored t-shirt has his hand wrapped around a popsicle stick and is chewing and has it inserted into his mouth where you can see 4 bright white teeth on the bottom row.",A person in a shirt,Nobody has a shirt,0.937960624695,-0.873399853706
A old man sells hardware parts on a dirty sidewalk.,The man is outside.,The man is cooking dinner with the hardware.,0.777098655701,-0.2046431005
A black dog carrying a hanging flower pot.,A dog carrying a flower pot.,A dog sleeping.,0.976798772812,-0.886954545975
A man in a large crowd converses with his friends.,A man is talking to a bunch of his friends.,A man is standing alone in the auditorium.,0.950231254101,-0.813943505287
A square full of people and life.,The square is busy.,The park plaza is absolutely empty.,0.976237475872,-0.84382134676
An Asian woman preparing vegetables for the market.,A woman preparing vegetables.,A woman at home.,0.83144068718,-0.486826866865
Two girls riding an amusement park ride.,The two girls are at the amusement park.,The two girls are at the zoo.,0.978574156761,-0.138681665063
Football players on a field in front of a crowd.,There is a crowd,There are people watching football on tv,0.738953948021,-0.389515727758
A boy riding on a carnival ride turns around for a photograph.,A human riding,Nobody is riding,0.880228757858,-0.757665514946
Several men dressed in Renaissance outfits.,Humans in outfits,Nobody has an outfit,0.965287327766,-0.764519095421
A black dog runs with a deflated ball and a tiny tire.,A dog with a ball.,A cat eats tuna.,0.58376967907,-0.650795996189
A dog plays with a ball at the beach.,A dog plays ball.,A cat plays with a ball of string.,0.809743642807,-0.350666940212
A woman is holding a baby by a window.,There is a baby in the picture.,The woman's hands are empty.,0.912351191044,-0.563882231712
"A child in a red jacket, waist deep in a pit on the beach.",A child on the beach,A child is building a sandcastle on the beach.,0.677881777287,-0.477394104004
An older perhaps Asian man who is wearing a sleeveless shirt with quite a few people in the background.,A human wearing,Nobody is wearing,0.975478470325,-0.792754411697
A little girl in a pink soccer outfit standing in front of a soccer net,A girl is in front of the soccer net.,The girl is throwing a frisbee.,0.966457009315,-0.012501174584
Two men are on a boat trying to fish for food during a sunset.,Humans trying to fish.,Nobody is trying to fish.,0.921860873699,-0.5659968853
Children standing and climbing near a fountain.,Kids standing and climbing.,Children running around playing tag.,0.918151140213,0.217736646533
A man cooking food on the stove.,A man is making hot food.,A man is making a steak on the grill outdoors.,0.694423437119,0.540567398071
A girl leaps through the air while running on the riverbank.,The girl is in the air.,The girl is asleep on the riverbank.,0.602899730206,-0.334717810154
A man wearing a mask with green dreadlocks and blue gloves stands in front of a woman in a brown cardigan.,The man seems to be in disguise.,The man wearing the mask is bald and is reading a comic book to his son.,0.889456033707,-0.554359912872
A man with a blue shirt and glasses points to a picture in a book in front of a little girl and a stack of books.,The man is attempting to draw attention to a picture.,The man has nothing on his face.,0.803437292576,-0.846035122871
A group of kids are playing on a tire swing.,Some kids are playing on a swing.,A group of dogs are chasing a duck.,0.982003986835,-0.0682535618544
A man in a red shirt is giving toys to a small dog.,There is someone palying with a dog.,There is a dog sleeping,0.951204717159,-0.820631146431
A man in blue with a black hat with a dog leaping at him in a park-like setting.,A man in blue playing with his dog outside in a park.,A man sits in a chair as his dog sleeps beside him.,0.967106759548,-0.856417715549
A man is doing tricks on a skateboard.,A human doing tricks,Nobody is doing tricks,0.548575997353,-0.0425740107894
A man providing entertainment on the sidewalk by playing the violin.,A man playing the violin entertains on the sidewalk.,A man is sleeping in a park by his violin.,0.89428716898,-0.476680845022
A skater goes through a course.,A skater goes through a course,A skater is sleeping.,0.999884486198,-0.48739862442
A young girl performing the nutcracker.,a child was there,the child is sleep,-0.0803145542741,-0.309821605682
"A young man smiles and points at something off-camera, while standing in front of a display.",The young man is in front of a display.,The young man is frowning with his hands in his pockets.,0.954830229282,-0.682716906071
Black dog with tan markings wearing a blue collar standing on green grass.,There is a dog standing outside.,A puppy is laying on the couch.,0.977984428406,-0.901350319386
Young barefoot girl begins to lose balance.,The young girl with bare feet is losing her balance.,The girl is sitting on the floor.,0.823762953281,0.0887419134378
A woman in brown boots talks on her cellphone and holds an umbrella.,The woman has a phone and an umbrella.,The woman is sleeping on a bench.,0.959693968296,-0.638278365135
Two people here are wearing something around their necks.,People are wearing something.,A man has nothing around his neck.,0.997443795204,-0.816538929939
Two girls are on a street sidewalk and one is sitting.,girls are on the sidewalk,the street is empty,0.540841758251,-0.538681089878
A young child wearing a pink top is with a female adult.,A kid is with a woman.,A kid is alone.,0.956877708435,-0.657227516174
A man wearing a yellow striped shirt laughs while seated next to another man who is wearing a light blue shirt and clasping his hands together.,Two men sitting together.,Two mimes sit in complete silence.,0.607099175453,-0.212284609675
A black and white dog prepares to catch a Frisbee.,A dog prepares to catch a Frisbee.,A black and white cat prepares to catch a Frisbee.,0.988829791546,-0.326285719872
"A man in an urban area is sweeping the sidewalks, with a group of people in the background, crossing a street.",A man is sweeping.,The man is sweeping his home.,0.852252840996,-0.391739308834
A man in a black wetsuit with white shorts is windsurfing on a blue body of water with mountains in the background.,The man is near the water.,The man is windsurfing in his bathtub.,0.919855117798,-0.239575862885
A brown dog about to catch a green Frisbee.,The dog is outdoors.,The dog is sleeping.,0.821647882462,-0.613632202148
A goalie in white runs for an approaching ball while the opponent in red who kicked it waits.,A person wearing white is running towards a ball that was kicked from another person.,The goalie is sleeping at home.,0.915181040764,-0.748084545135
Old man crafting something in his workshop.,An old man is working.,An old man is snoring.,0.901121139526,0.238168492913
"A man with an orange hat in a yellow canoe paddles along a river in a wooded, mountainous area.",The man has an orange hat on,The man is watching tv,0.849268436432,-0.937764406204
"A woman, in a green shirt, preparing to run on a treadmill.",A woman is getting a workout.,A woman is preparing to sleep on a treadmill.,0.432347238064,0.00830581970513
An overweight man in a blue and black hooded sweatshirt works on a laptop computer outdoors.,A man does some work while sitting outside at a park.,A skinny man in a tank top watches TV inside.,0.612674713135,-0.20135474205
A woman is cutting something with scissors.,A woman uses a tool.,A woman knits herself a sock.,0.265867769718,-0.245194643736
A man playing a guitar and a man playing drums,A man playing the guitar with a man who is also playing drums.,Two men playing video games in the basement.,0.931833863258,-0.12341029942
A man on a scenic canoe trip.,A man is on a canoe.,No one is on a canoe.,0.809110999107,-0.676043629646
A bronze-skinned woman walks a pedestrian path in a form fitting dress.,A woman walks a pedestrian path.,A woman sits in a bathtub.,0.922965288162,-0.340658277273
A black dog leaps out of the water.,The animal is outdoors.,A cat is scuba diving and the down was chasing him,0.875831484795,-0.408952564001
