premise,correct,incorrect,pos_neg_sim,pos_sim,neg_sim,difference,sentence_mode,embedding_details,distance_metric,original_index
['A snowboarder is doing a trick mid air. a person jumping a snoe board in the air A man does a trick on a snowboard\n A person that is doing a snowboarding trip.'],['A snowboarder is doing a trick in the air.'],"[""An animal's tail is curled on the floor near a polka dot plate with cat shaped cookies on it.""]",0.9096189737319946,0.9799440503120422,0.9064322113990784,0.07351183891296387,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,0
['a couple of people are outside near some trees two men in the middle of the woods playing frisbee golf. Two guys play flying disc golf in the woods. Two guys plays an outdoor game with each other.'],['Young men playing disc golf in treed area of park.'],['Two women sitting at a table with a plate of pizza.'],0.860146164894104,0.930773138999939,0.9329408407211304,-0.0021677017211914062,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,1
['A small room with a heater and a desk filled with clutter. An old cement wall in a home is decorated with garland. A cluttered room with Christmas decorations hanging on the wall. a wall covered in decorations in what looks like a small kitchen'],['Different fixtures hang from the wall which boast a green dart board.'],['Decorative hate being old out of rapping to eat'],0.8181559443473816,0.9260609149932861,0.8421286344528198,0.08393228054046631,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,2
['A white cat wearing a helmet made of melon rind. A cat wearing a lime helmet looking angry. A cat has a lime in the shape of a helmet on its head. A cat looking annoyed with fruit on its head'],"[""A cat with a fruit on it's head.""]",['There are plates with food and drinks on the table. '],0.8801373243331909,0.9757246971130371,0.8628857135772705,0.1128389835357666,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,3
"['A person near a tennis net holding a tennis racket. A man in a red tennis jersey swinging with his racket. A gentlemen holding his tennis racket on the tennis court. The man is playing tennis ,at the tennis court.']",['A man on a court swinging a tennis racket.'],"[""An animal's tail is curled on the floor near a polka dot plate with cat shaped cookies on it.""]",0.8831700682640076,0.9623088836669922,0.9266002178192139,0.03570866584777832,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,4
['A man with a tennis racquet and a referee in the background. Man in black and white outfit in the motion of swinging tennis racket.  A man lunging into the air holding a tennis racquet. A tennis player holding his tennis racket about to hit the ball. '],['a male in a white shirt and black shorts playing tennis'],['a basket of broccoli carrots and some califlower'],0.886215329170227,0.9501874446868896,0.9302324056625366,0.019955039024353027,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,5
"['A orange and white cat sitting underneath a white bush. A cat underneath a white car, probably in korea. A scowling cat sitting in the shade under a car. A chubby cat sits under a parked car in the shade.']",['A cat is sitting under a white vehicle'],"['A memorial with plagues, flowers and flags. ']",0.838813304901123,0.9472060203552246,0.8778036832809448,0.06940233707427979,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,6
['A bird standing in the sand and another bird landing on a blanket in the sand. Bird landing on a colorful blanket sitting in the sand. The seagulls came down from the sky and landed on the beach towel. A bird is landing on a beach towel.'],['a bird landing on a beach towel at the beach'],['A cat with its front paws on the mouse of a laptop.'],0.9472222328186035,0.9689542651176453,0.964507520198822,0.004446744918823242,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,7
['A cat is sleeping on the arm of a couch. a cat sleeping on the arm of a sofa A cat is sleeping on the arm of a couch  A tired cat falls asleep on the arm of a chair.'],['A cat laying on a couch in a room.'],['A dog that is looking at his reflection in a mirror.'],0.9435902833938599,0.9622869491577148,0.9436023235321045,0.01868462562561035,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,8
['A person is riding a skateboard in a tennis court. The young man is riding his skateboard around the park.  A man riding a skateboard on top of a cement ground. There is a person riding a skateboard on a tennis court'],['A man in blue shirt riding a skateboard on tennis court.'],['A cat with its front paws on the mouse of a laptop.'],0.9289194941520691,0.9658886194229126,0.9585213661193848,0.007367253303527832,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,9
['Collection of books scattered all over a bed. A bunch of books sitting on top of a bed. a bed with books laying on the top of it A bunch of books are sitting on top of a bed'],['Many books are scattered across a bed spread.'],['two horses standing in the grass by a bighouse '],0.7660137414932251,0.8243981599807739,0.9387804865837097,-0.11438232660293579,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,10
['A person walking in the rain holding an umbrella. A person standing in the rain holding a large umbrella. a person with an umbrella some lights and a street A person walking in the rain with an umbrella at night.'],['A person standing outside in the rain holding an umbrella.'],['The insect is flying around on the porch.'],0.895356297492981,0.9802175760269165,0.907890260219574,0.07232731580734253,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,11
