premise,correct,incorrect,pos_sim_M,neg_sim_M,pos_sim,neg_sim
Two toddler girls appear to enjoy basking on a pile of leaves as they smile for the camera.,Two toddlers play on a pile of leaves.,Two toddlers are fast asleep in their cribs.,0.9125971794128418,0.12769007682800293,0.9984997510910034,0.0017910301685333807
A man wearing black clothing is standing at an empty table that has water glasses and papers strewn about.,A man wearing black clothing is standing around at an empty table that has water glasses and papers strewn about.,The man is running for his life.,0.9989687204360962,0.4418310262262821,0.9999481737613678,0.00388181209564209
There are three woman conversing at a table with drinks.,Women are talking,The women are ignoring each other,0.9177457392215729,0.11854490637779236,0.9977615177631378,0.0027140676975250244
A black dog is coming out of the ocean water on the beach with something in its mouth.,The dog is coming out of the ocean with something it its mouth.,The cat was stuck in a tree.,0.9310086667537689,0.16158631443977356,0.9983449876308441,0.004376411437988281
A woman in a white hat and red dress holding hands with a man in a black jacket with a flower in his upper pocket.,A woman is touching the man.,The woman is alone and asleep in the car on the moon.,0.9721540212631226,0.0679769217967987,0.9928867220878601,0.0024706423282623846
a brown and a black dog play in a field,There is a dog outside.,The dogs are sleeping.,0.9985204935073853,0.07444044947624207,0.9961029291152954,0.008539855480194092
A man inspects the uniform of a figure in some East Asian country.,Someone is wearing a uniform,The man is sleeping,0.9955040216445923,0.11911338567733765,0.9988253116607666,0.012159168720245417
A black and brown dog attempts to catch a red ball in its mouth.,An animal is playing with a ball.,A dog is taking a nap.,0.9546316862106323,0.0758926272392273,0.9951281547546387,0.009426921606063787
A man is sitting in a chair and looking at something that he is holding.,A man is sitting down looking at something.,A man is sleeping.,0.9818442761898041,0.2277434766292572,0.9923116862773895,0.0076465606689453125
"Torch-bearing runner, about to be photographed by onlooker, enjoys the smiles and shouts of the crowd.",The runner has a torch.,The runner hates the crowd.,0.828435868024826,0.14398151636123657,0.9874349534511566,0.003668844699859619
a woman holding a child in a purple shirt,a woman holds a child,the woman is asleep at home,0.9986989200115204,0.15079575777053833,0.9926907420158386,0.010322868824005182
"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",there are children near the camera,the children are sleeping in their rooms,0.9855092167854309,0.08365601301193237,0.9967030584812164,0.014472126960754395
a man scales the large rock.,The man is outdoors.,The man is relaxed in his bed.,0.9280847609043121,0.049095690250396784,0.9939688444137573,0.011791765689849798
A man in a red sweater holds a child on top of his shoulders.,The man is touching the child.,The man is alone in his house.,0.9358757138252258,0.05545693635940552,0.9869648814201355,0.005154669284820612
"A male in a black hat, brown jacket and black and white sports pants reading a newspaper next to an aged stone building with a bike out front.",a male in a hat,the man is at home sleeping,0.9256208837032318,0.15535783767700195,0.9986879527568817,0.017112553119659424
Two cars are parked by a body of water by some cranes.,Two cars parked near a body of water and a crane outside.,Two cars parked inside of a garage.,0.9915077090263367,0.28770484030246735,0.9895049929618835,0.012753069400787409
Two people wearing winter clothes stand near a pole in a winter scene.,people stand near pole,dog chases two cows,0.9342137277126312,0.10238391160964966,0.9960499405860901,0.019466757774353027
Two men standing near a metal structure in front of a brick wall.,Adult males stand in front of a brick wall near something made of metal.,Men hang drywall inside a house.,0.9922966361045837,0.23644709587097168,0.9939852356910706,0.018881052732467596
A young man in a black shirt and an elderly woman in a pink shirt sitting on a train together.,The man is wearing clothing.,The man is asleep in the bathtub on the moon.,0.6398803889751434,0.13897335529327393,0.9764099419116974,0.0032114982604979914
A dog is running through an obstacle course in front of a group of people.,A dog is showcasing its agility,A dog is asleep,0.94856858253479,0.14644062519073486,0.9944862425327301,0.021767497062683105
