correct,incorrect,premise,pos_sim,neg_sim
A snowboarder is doing a trick in the air.,An animal's tail is curled on the floor near a polka dot plate with cat shaped cookies on it.,"A snowboarder is doing a trick mid air. a person jumping a snoe board in the air A man does a trick on a snowboard
 A person that is doing a snowboarding trip.",0.9883932471275327,-0.6352333426475526
Young men playing disc golf in treed area of park.,Two women sitting at a table with a plate of pizza.,a couple of people are outside near some trees two men in the middle of the woods playing frisbee golf. Two guys play flying disc golf in the woods. Two guys plays an outdoor game with each other.,0.9705251455307009,-0.6306657791137695
Different fixtures hang from the wall which boast a green dart board.,Decorative hate being old out of rapping to eat,A small room with a heater and a desk filled with clutter. An old cement wall in a home is decorated with garland. A cluttered room with Christmas decorations hanging on the wall. a wall covered in decorations in what looks like a small kitchen,0.44270211458206177,-0.4887567162513734
A cat with a fruit on it's head.,There are plates with food and drinks on the table. ,A white cat wearing a helmet made of melon rind. A cat wearing a lime helmet looking angry. A cat has a lime in the shape of a helmet on its head. A cat looking annoyed with fruit on its head,0.9835492372512815,-0.19812917709350597
A man on a court swinging a tennis racket.,An animal's tail is curled on the floor near a polka dot plate with cat shaped cookies on it.,"A person near a tennis net holding a tennis racket. A man in a red tennis jersey swinging with his racket. A gentlemen holding his tennis racket on the tennis court. The man is playing tennis ,at the tennis court.",0.8975636959075928,0.2462933361530304
a male in a white shirt and black shorts playing tennis,a basket of broccoli carrots and some califlower,A man with a tennis racquet and a referee in the background. Man in black and white outfit in the motion of swinging tennis racket.  A man lunging into the air holding a tennis racquet. A tennis player holding his tennis racket about to hit the ball. ,0.8107089996337888,-0.1555529236793518
A cat is sitting under a white vehicle,"A memorial with plagues, flowers and flags. ","A orange and white cat sitting underneath a white bush. A cat underneath a white car, probably in korea. A scowling cat sitting in the shade under a car. A chubby cat sits under a parked car in the shade.",0.9982103109359743,-0.5347540974617007
a bird landing on a beach towel at the beach,A cat with its front paws on the mouse of a laptop.,A bird standing in the sand and another bird landing on a blanket in the sand. Bird landing on a colorful blanket sitting in the sand. The seagulls came down from the sky and landed on the beach towel. A bird is landing on a beach towel.,0.8926573395729065,-0.4562085270881654
A cat laying on a couch in a room.,A dog that is looking at his reflection in a mirror.,A cat is sleeping on the arm of a couch. a cat sleeping on the arm of a sofa A cat is sleeping on the arm of a couch  A tired cat falls asleep on the arm of a chair.,0.9147969484329224,-0.6600705981254578
A man in blue shirt riding a skateboard on tennis court.,A cat with its front paws on the mouse of a laptop.,A person is riding a skateboard in a tennis court. The young man is riding his skateboard around the park.  A man riding a skateboard on top of a cement ground. There is a person riding a skateboard on a tennis court,0.9035410284996033,0.09953148663043976
