correct,incorrect,premise,pos_sim,neg_sim
,"'Phil Jones said that for the past 15 years there has been no ""statistically significant"" warming.","The authors concluded that ""Northern Hemisphere mean annual temperatures for three of the past eight years are warmer than any other year since (at least) AD1400"", and estimated empirically that greenhouse gases had become the dominant climate forcing during the 20th century.",,-0.03788322600000005
,Marine life has nothing whatsoever to fear from ocean acidification.”,"Human activities affect marine life and marine habitats through overfishing, pollution, acidification and the introduction of invasive species.",,-0.44689196
,"""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)","For example, diverse geochemical and paleontological proxies indicate that at the maximum of global warmth the atmospheric carbon dioxide values were at 700–900 ppm while other proxies such as pedogenic (soil building) carbonate and marine boron isotopes indicate large changes of carbon dioxide of over 2,000 ppm over periods of time of less than 1 million years.",,0.7183576999999999
,CO2 constitutes 80% of the non-condensing greenhouse gas forcing.,"The trucking and haulage industry plays a part in production of CO 2, contributing around 20% of the UK's total carbon emissions a year, with only the energy industry having a larger impact at around 39%.",,0.2435984
,The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.,"The scientific consensus as of 2013[update], as stated in the IPCC Fifth Assessment Report, is that it ""is extremely likely that human influence has been the dominant cause of the observed warming since the mid-20th century"".",,0.86103266
,"I think about all the 194 countries that signed onto the Paris accord, the U.S. is the one that's leading the world in reducing emissions.","On 1 April 2016, the United States and China, which together represent almost 40% of global emissions, issued a joint statement confirming that both countries would sign the Paris Climate Agreement.",,0.6041582000000001
,"there has been no systematic increase in the frequency of extreme weather events,",This has led to an increase in the number and severity of extreme weather events.,,-0.008624339499999967
,Climategate CRU emails suggest conspiracy,"""'Conspiracy theories finally laid to rest' by report on leaked climate change emails"".",,0.684037
,sea-level rise is not accelerating.,"""Antarctica ice melt has accelerated by 280% in the last 4 decades"".",,-0.12585256
,If we double atmospheric carbon dioxide[…] we’d only raise global surface temperatures by about a degree Celsius.,"On the other hand, any doubling of the percentage of carbon dioxide in the air would raise the temperature of the earth's surface by 4°; and if the carbon dioxide were increased fourfold, the temperature would rise by 8°.""",,0.10384813999999998
,a study that totally debunks the whole concept of man-made Global Warming,"""Warming 'very likely' human-made"".",,0.12989852999999996
,This argument originates from Angstrom's work in 1901.,This classic was originally published in French in 1958.,,-0.4876000300000002
,"Therefore, CO2 levels could not have forced temperatures to rise.","During the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health.",,-0.3642158
,"""Many people think the science of climate change is settled.","Many of the issues that are settled within the scientific community, such as human responsibility for global warming, remain the subject of politically or economically motivated attempts to downplay, dismiss or deny them—an ideological phenomenon categorised by academics and scientists as climate change denial.",,0.8982356
,There is no empirical evidence that increasing greenhouse gases are the primary cause of Global Warming,"In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",,-0.12675146999999998
,The temperatures are expected to change by as much as 10 Fahrenheit degrees at different places of the globe.,"About a billion years from now, all surface water will have disappeared and the mean global temperature will reach 70 °C (158 °F).",,0.7358359000000001
,"“The oceans, which absorb more than 90% of the extra CO2 pumped into the atmosphere“","Currently, about half of the carbon dioxide released from the burning of fossil fuels remains in the atmosphere and is not absorbed by vegetation and the oceans.",,-0.54362535
,"However, since 1998, little warming has occurred while carbon dioxide emissions continue to increase.",The sharp acceleration in CO 2 emissions since 2000 to more than a 3% increase per year (more than 2 ppm per year) from 1.1% per year during the 1990s is attributable to the lapse of formerly declining trends in carbon intensity of both developing and developed nations.,,0.8292368000000001
,Numerous papers have documented how IPCC predictions are more likely to underestimate the climate response.,"They judge that global mean surface air temperature has increased by 0.3 to 0.6 °C over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability.",,0.6350514
,U.S. Forest Service data show pine beetle infestations have recently declined dramatically throughout the western United States.,"However, unusually hot, dry summers and mild winters throughout the region during the last few years, along with forests filled with mature lodgepole pine, have led to an unprecedented epidemic.",,-0.8409052000000002
,"Tree-ring proxy reconstructions are reliable before 1960, tracking closely with the instrumental record and other independent proxies.",The deviation of some tree ring proxy measurements from the instrumental record since the 1950s raises the question of the reliability of tree ring proxies in the period before the instrumental temperature record.,,0.94427836
,Preventing future pandemics requires more not less “industrial” agriculture,There are many potential impacts on human health due to the modern cattle industrial agriculture system.,,-0.28354670000000004
,Global human emissions are only 3 per cent of total annual emissions.,"It is one of the largest sources of greenhouse gases, responsible for 18% of the world's greenhouse gas emissions as measured in CO2 equivalents.",,-0.35864356
,Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.,Few major hurricanes struck the Gulf coast during 3000–1400 BC and again during the most recent millennium.,,-0.25351363000000005
,Humans are too insignificant to affect global climate.,"Currently, through land development, combustion of fossil fuels, and pollution, humans are thought to be the main contributor to global climate change.",,-0.5801387
,Cosmic rays show no trend over the last 30 years & have had little impact on recent global warming.,estimated that the residual effects of the prolonged high solar activity during the last 30 years account for between 16% and 36% of warming from 1950 to 1999.,,0.11272042000000004
,Man-made greenhouse gases play only an insignificant role.”,"It is likely that anthropogenic (i.e., human-induced) warming, such as that due to elevated greenhouse gas levels, has had a discernible influence on many physical and biological systems.",,-0.583786
,’Extremely remarkable’ 2017 heads toward record for hottest year without an El Niño episode.,"It was the second-coolest year of the 21st century to date, and tied with the second-warmest year of the 20th century.",,0.16215047000000005
,"No warming since at least 1995, no melting glaciers and now no rising sea levels.","Between 1993 and 2018, thermal expansion of the oceans contributed 42% to sea level rise; the melting of temperate glaciers, 21%; Greenland, 15%; and Antarctica, 8%.",,-0.4000327
,Measurements indicating that 2017 had relatively more sea ice in the Arctic and less melting of glacial ice in Greenland casts scientific doubt on the reality of global warming.,"The effects of global warming in the Arctic include rising temperatures, loss of sea ice, and melting of the Greenland ice sheet.",,0.5347218499999999
,Satellite transmissions are extremely small and irrelevant.,"Each satellite provides three transmission beams that can support 50 channels each, carrying news, music, entertainment, and education, and including a computer multimedia service.",,-0.5611563000000002
,[Wind energy] is a more expensive way of producing energy than the alternative.,"However, U.S. civilian nuclear power is considerably more expensive than wind power.",,0.9387662999999999
,Global human emissions are only 3 per cent of total annual emissions.,"In 2008, countries with a Kyoto cap made up less than one-third of annual global carbon dioxide emissions from fuel combustion.",,-0.2906261
,CERN CLOUD experiment proved cosmic rays are causing global warming.,"In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",,0.6484146
,“Several of the papers note that the primary influence on warming appears to be solar activity.,"(2009) found that the evidence showed that connections between solar variation and climate were more likely to be mediated by direct variation of insolation rather than cosmic rays, and concluded: ""Hence within our assumptions, the effect of varying solar activity, either by direct solar irradiance or by varying cosmic ray rates, must be less than 0.07 °C since 1956, i.e.",,0.8073039
,There is no statistical evidence that global warming is intensifying[…] droughts,"Climate change also increases droughts and heat waves that inhibit plant growth, which makes it uncertain whether this balancing feedback will persist in the future.",,0.0881159199999999
,"Carbon dioxide is not ""a primary contributor to the global warming that we see.""","""How do we know more CO2 is causing warming?"".",,-0.11552548399999996
,"In no way, shape, or form are humans warming or cooling the planet.","""Evidence is now 'unequivocal' that humans are causing global warming – UN report"".",,-0.57042164
,The report suggests significantly smaller overall  ice-mass losses than previous estimates.,The loss in Southern Alps total ice volume from 1976–2014 is 34 percent of the total.,,0.521749
,cold kills many more people than heat.,"After the elder Snart insults him and his mother, calling them weak, Cold punches him, but finds himself unable to kill him, instead getting Heat Wave to do it.",,0.1391756799999999
,"[T]he study indicates “Greenland’s ice may be less susceptible to the massive meltdown predicted by computer models of climate change, the main author ... said in an interview. ...","It is also predicted that Greenland will become warm enough by 2100 to begin an almost complete melt during the next 1,000 years or more.",,0.4908125400000001
