premise,correct,incorrect,pos_sim_M,neg_sim_M,pos_sim,neg_sim
"Because GAO's primary function is to support the Congress in carrying out its decision-making and oversight responsibilities, the number of times our experts testify before congressional panels each year is an indicator of our responsiveness and reflects the impact, importance, and value of our work.",Their main focus to to support Congress.,They refused to provide any support to the Congress.,0.9857035279273987,0.05319082736968994,0.9998158812522888,0.004564613103866577
"When the next modernist revolution comes around, he'll be ready.",The man will be prepared.,The person forgot about the revolution.,0.8656551241874695,0.11034762859344482,0.9966573417186737,0.0020317733287811834
"Across the river from the city, it has superb views; rooms are very contemporary in design.",It has great views of the city.,It has terrible views of the parking lot.,0.9207205474376678,0.12239682674407959,0.9956128299236298,0.0018069744110107977
yeah yeah so it's interesting to talk to somebody from that general vicinity,Conversing to someone in the area is interesting.,There's no one to talk to round here because they're utterly boring.,0.9888580739498138,0.0273831188678742,0.9984468817710876,0.009461522102356013
"Good spots for blues are Harvelle's Blues Club in Santa Monica, Jack's Sugar Shack in Hollywood, and the House of Blues in West Hollywood.",There are multiple good spots for blues in L.A.,Harvelle's Blues Club in Santa Monica is a terrible spot for blues shows.,0.821591317653656,0.47505155578255653,0.9916510283946991,0.006465643644332886
They have found a new object of their affection.,A new object has captured their affection.,They have no feelings of affection whatsoever.,0.9798583984375,0.33085933327674866,0.9882476329803467,0.005181074142455999
There are a number of these on Chatham Road South and around Cameron Street in Tsim Sha Tsui.,A number of these are located on Chatham Road and around Cameron Strees in Tsim Sha Tsui.,These  cannot  only be found anywhere in Tsim Sha Tsui,0.991039901971817,0.01018032431602478,0.9979763031005859,0.015036970376968384
"While parents may pick up this gay semaphore, kids aren't likely to.","Kids aren't likely to recognize gay signals, but some parents do. ",Gay kids always recognize gay signals. ,0.9810325801372528,0.09556984901428223,0.9990289211273193,0.017349451780319214
"According to Jane Langmuir, director of the project, water and heat come together and create a totally new appliance.",Jane Langmuir says that water and heat combine into a new mechanism.,Jane Langmuir was not involved with the project in any way.,0.8309037387371063,0.06749370694160461,0.9910352528095245,0.01096409559249878
"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",There is a British publication called the Sun.,There aren't any tabloid publications sold in Europe.,0.6041485741734505,0.24763715267181396,0.9863193929195404,0.0069415271282196045
"Fruit, vegetables, electronics, and a little bit of everything else is on sale here.",You can by all sorts of products and food here.,Nothing is on sale here.,0.9532991051673889,0.04320329427719122,0.9921469390392303,0.013687312602996826
Then I considered.,"Afterwards, I thought about it.",I refused to even consider it.,0.9697492122650146,0.059917181730270386,0.9991063177585602,0.020810008049011175
so you um-hum so you think it comes down to education or or something like that,You think it comes down to education?,It has nothing to do with education.,0.9669900834560394,0.08263617753982544,0.9939126968383789,0.016032755374908392
"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.","Jim Lehrer has a lot of credibility, which is good for him.",Jim Lehrer has no credibility whatsoever.,0.9838388562202454,0.04352360963821411,0.9902273118495941,0.012348175048828125
"I should think some one had taken charge of it.""",Someone should have taken charge of it.,No one should have taken charge of it.,0.9954124093055725,0.07881364226341248,0.9997271299362183,0.022214174270629883
"COST ASSIGNMENT - A process that identifies costs with activities, outputs, or other cost objects.","Cost assignment is a process that identifies cost with activities, objects or cost objects ",Cost assignment identifies nothing ,0.9887130856513977,0.06277722120285034,0.9996630251407623,0.023537427186965998
more of a football powerhouse up there i guess,I suppose he is more of a football powerhouse there.,He's terrible at football there.,0.9949566423892975,0.2860616594552994,0.9789958000183105,0.0030118227005004883
much with whatever it's with the Black the Black problem or whatever that may be now,There is a Black issue that could be called something else now.,There is no Black problem at all.,0.9806517362594604,0.08953690528869629,0.9975707530975342,0.021658003330230713
"Favorite items that will help preserve your memories of the rugged Lakeland countryside are clothing or blankets made from the local Herdwick wool, coasters of polished slate, or walking sticks with ram's-horn handles.",Favorite items can make you remember the countryside.,They don't sell any souveineers.,0.9018022418022156,0.12409889698028564,0.9988313317298889,0.023316383361816406
"Now open political debate flourished, especially in Calcutta where Karl Marx was much appreciated.","Now political debate flourished in Calcutta especially, where Karl Marx was appreciated.","Now political debate died down in Calcutta especially, where Karl Marx was hated.",0.9966315031051636,0.1843908429145813,0.9991914629936218,0.025086313486099188
"Tom is the winner of a year's supply of Turtle Wax, and he will receive his prize just as soon as the Shopping Avenger figures out how much Turtle Wax actually constitutes a year's supply.",Tom is the winner of this years contest.,There are no winners of the one year supply of Turtle wax.,0.7012306451797485,0.06035536527633667,0.9881468415260315,0.01416993141174322
"Also, the Holy Family are said to have sheltered here on their return from Egypt.","It is thought that the Holy family took refuge here, after having returned from Egypt.",It has never been suggested that the Holy Family ever spent any time here. ,0.9480168223381042,0.24060660600662231,0.9875755310058594,0.013984411954879816
really oh i thought it was great yeah,that was a nice experience,That was horrible,0.9475516080856323,0.13648292422294617,0.9851783514022827,0.011602878570556585
But there's SOMETHING.,Surely there's something.,There's absolutely nothing in there.,0.8117329776287079,0.10877835750579834,0.9876238703727722,0.015449166297912598
"Indiana Legal Services (ILS) Executive Director Norman Metzger and Colleen Cotter, Director of the ILS Indiana Justice Center, were marvelous hosts.","The hosts were Norman and Colleen; and, they did a marvelous job. ",Norman and Colleen were terrible hosts of the party. ,0.9891377985477448,0.25321780145168304,0.975847452878952,0.0040190815925598145
Blair has just published a volume of speeches and articles titled New Britain : My,Blair recently published an assortment of speeches.,Blair has never published anything before.,0.9905267357826233,0.06736510992050171,0.9878729581832886,0.01704120635986328
This northern beach of magnificent tan sand is most agreeably reached by boat.,The beach has beautiful sand.,The beach is rocky and terrible.,0.9140365719795227,0.13082855939865112,0.9992634057998657,0.02861443161964422
I want you to mark him.,He should be marked.,He should be let free with no marks on him.,0.9342607855796814,0.04333639144897461,0.9873958230018616,0.016785085201263428
I was soon strong enough to move.,I could move soon.,I was totally paralyzed and unable to move.,0.9397299885749817,0.06551316380500793,0.9983881413936615,0.02885684370994568
Workers are also represented in civil rights and retaliation claims.,Some workers are represented in civil rights and retaliation claims.,There is no representation for workers.,0.99701789021492,0.07789146900177002,0.9998621344566345,0.03124326467514038
i i have some feelings about it in the sense that i feel if a person is guilty beyond a reasonable doubt and it's a really heinous crime i feel like the Bible says an eye for an eye,I have strong views on it when I think the crime merits the punishment.,I'm sure that it's never justified no matter how bad the crime.,0.8097009062767029,0.12058746814727783,0.9928422570228577,0.025410979986190796
"June 21, 1995, provides the specific requirements for assessing and reporting on controls.",There are specific requirements for assessment.,There are no specific requirements for assessment.,0.9962508678436279,0.09036070108413696,0.9951646327972412,0.028213858604431208
"While the NIPA measure reflects how government saving affects national saving available for investment, the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues.","The NIPA measure reflects how government savings affects national saving available for invest, but the unified budget measure is more commonly used.",The NIPA was never a useful metric and wasn't used by anyone for anything.,0.9925437867641449,0.044104814529419,0.9994557201862335,0.032939910888671875
yeah it's true it is in in fact i have a friend of mine that moved to North Carolina she's um an emergency room nurse she does the operating room,This person I'm close to is an emergency room nurse at a hospital in North Carolina.,I have no friends who work in the medical field.,0.9178797900676727,0.05574887990951538,0.9850198328495026,0.01873552799224859
"She was a very good mistress to me, sir.",She was a good mistress. ,She was a bad mistress. ,0.9830567538738251,0.22502762079238892,0.9989249110221863,0.03496748208999639
"Further, given the dynamic environment agencies face, employees need incentives, training, and support to help them continually learn and adapt.",Operating conditions change over time and it is important to ensure that employees receive resources geared toward preparing them to face changes.,Over time agencies faced rigid environments where nothing changed.,0.9747415781021118,0.11151957511901855,0.999335765838623,0.035687655210494995
and you fry them with garlic and a little bit of couple dashes of hot pepper,To cook them you use garlic and a little bit of hot pepper.,Do not put any garlic or hot pepper in it.,0.9902391731739044,0.39014796912670135,0.9917155504226685,0.029020965099334717
pretty good newspaper uh-huh,I think this is a decent newspaper.,The newspaper is horrible.,0.9838957190513611,0.09102410078048706,0.9960246980190277,0.03350800275802612
